ID,Phylum
K001,Cyanobacteria
K002,Cyanobacteria
K003,Cyanobacteria
K178,Cyanobacteria
K005,Cyanobacteria
K215,Cyanobacteria
K216,Cyanobacteria
K006,Cyanobacteria
K009,Cyanobacteria
K010,Cyanobacteria
K181,Cyanobacteria
K182,Cyanobacteria
K004,Cyanobacteria
K011,Cyanobacteria
K007,Cyanobacteria
K012,Cyanobacteria
K013,Cyanobacteria
K183,Cyanobacteria
K223,Cyanobacteria
K031,Cyanobacteria
K184,Cyanobacteria
K188,Cyanobacteria
K032,Cyanobacteria
K033,Cyanobacteria
K185,Cyanobacteria
K186,Cyanobacteria
K034,Cyanobacteria
K035,Cyanobacteria
K036,Cyanobacteria
K187,Cyanobacteria
K037,Cyanobacteria
K038,Cyanobacteria
K039,Cyanobacteria
K023,Cyanobacteria
K024,Cyanobacteria
K017,Cyanobacteria
K026,Cyanobacteria
K027,Cyanobacteria
K028,Cyanobacteria
K029,Cyanobacteria
K014,Cyanobacteria
K019,Cyanobacteria
K191,Cyanobacteria
K016,Cyanobacteria
K021,Cyanobacteria
K018,Cyanobacteria
K022,Cyanobacteria
K015,Cyanobacteria
K225,Chrysophyta
K040,Chrysophyta
K041,Chrysophyta
K221,Chrysophyta
K042,Chrysophyta
K043,Chrysophyta
K044,Chrysophyta
K045,Chrysophyta
K046,Xanthophyta
K047,Xanthophyta
K049,Xanthophyta
K053,Bacillariophyta
K054,Bacillariophyta
K055,Bacillariophyta
K057,Bacillariophyta
K056,Bacillariophyta
K058,Bacillariophyta
K059,Bacillariophyta
K060,Bacillariophyta
K061,Bacillariophyta
K062,Bacillariophyta
K063,Bacillariophyta
K064,Bacillariophyta
K208,Bacillariophyta
K065,Bacillariophyta
K066,Bacillariophyta
K067,Bacillariophyta
K068,Bacillariophyta
K069,Bacillariophyta
K070,Bacillariophyta
K071,Bacillariophyta
K072,Bacillariophyta
K073,Bacillariophyta
K074,Bacillariophyta
K075,Bacillariophyta
K200,Bacillariophyta
K076,Bacillariophyta
K077,Bacillariophyta
K078,Bacillariophyta
K214,Bacillariophyta
K079,Bacillariophyta
K080,Bacillariophyta
K081,Bacillariophyta
K082,Bacillariophyta
K083,Bacillariophyta
K084,Bacillariophyta
K085,Bacillariophyta
K211,Bacillariophyta
K086,Bacillariophyta
K087,Bacillariophyta
K088,Bacillariophyta
K089,Bacillariophyta
K090-3,Bacillariophyta
K090-1,Bacillariophyta
K090-2,Bacillariophyta
K091,Cryptophyta
K092,Dinophyta
K093,Dinophyta
K094,Dinophyta
K095,Dinophyta
K096,Euglenophyta
K097,Euglenophyta
K098,Euglenophyta
K099,Euglenophyta
K100,Euglenophyta
K101,Euglenophyta
K102,Chrysophyta
K103,Chlorophyta
K104,Chlorophyta
K105,Chlorophyta
K106,Chlorophyta
K226,Chlorophyta
K138,Chlorophyta
K130,Chlorophyta
K118,Chlorophyta
K110,Chlorophyta
K132,Chlorophyta
K113,Chlorophyta
K114,Chlorophyta
K119,Chlorophyta
K115,Chlorophyta
K120,Chlorophyta
K174,Chlorophyta
K121,Chlorophyta
K133,Chlorophyta
K131,Chlorophyta
K149,Chlorophyta
K150,Chlorophyta
K153,Chlorophyta
K134,Chlorophyta
K154,Chlorophyta
K155,Chlorophyta
K167,Chlorophyta
K107,Chlorophyta
K108,Chlorophyta
K156,Chlorophyta
K157,Chlorophyta
K158,Chlorophyta
K122,Chlorophyta
K123,Chlorophyta
K135,Chlorophyta
K171,Chlorophyta
K151,Chlorophyta
K143,Chlorophyta
K152,Chlorophyta
K139,Chlorophyta
K141,Chlorophyta
K172,Chlorophyta
K116,Chlorophyta
K124,Chlorophyta
K125,Chlorophyta
K202,Chlorophyta
K159,Chlorophyta
K111,Chlorophyta
K144,Chlorophyta
K142,Chlorophyta
K126,Chlorophyta
K173,Chlorophyta
K145,Chlorophyta
K146,Chlorophyta
K168,Chlorophyta
K177,Chlorophyta
K140,Chlorophyta
K148,Chlorophyta
K169,Chlorophyta
K117,Chlorophyta
K160,Chlorophyta
K147,Chlorophyta
K109,Chlorophyta
K127,Chlorophyta
K217,Chlorophyta
K128,Chlorophyta
K161,Chlorophyta
K112,Chlorophyta
K212,Chlorophyta
K136,Chlorophyta
K137,Chlorophyta
K176,Chlorophyta
K162,Chlorophyta
K163,Chlorophyta
K129,Chlorophyta
K166,Chlorophyta
K164,Chlorophyta
K170,Chlorophyta
K205,Chlorophyta
K165,Chlorophyta
