,TC,TN,TP
XH01,13.65,0.831,0.091
XH03,14.31,1.18,0.075
XH04,17.5,1.303,0.048
XH05,14.75,1.036,0.055
DQH01,13.96,0.913,0.067
DQH02,8.011,0.954,0.063
DQH03,13.81,0.861,0.055
DQH04,9.882,0.759,0.059
DQH05,11.52,0.646,0.059
QDH01,9.294,0.974,0.02
QDH02,8.918,1.077,0.02
QDH06,6.498,0.718,0.028
QDH07,9.389,1.026,0.024
QDH08,9.212,1.118,0.032
QDH09,8.967,1.015,0.036
QD01,4.102,0.697,0.016
QD02,8.548,0.666,0.02
QD03,4.123,0.523,0.02
QD04,4.263,0.574,0.02
QD05,5.897,0.687,0.032
NX01,4.824,0.82,0.024
NX02,3.831,0.759,0.02
NX03,9.996,0.625,0.012
NX06,10.36,0.697,0.02
SSLJH01,12.31,0.564,0.055
SSLJH02,9.497,0.471,0.047572
SSLJH03,10.32,0.533,0.067158
SSLJH04,18.34,0.82,0.0554064
DZ01,13.47,1.272,0.028
DZ02,8.967,0.944,0.032
DZ03,9.986,1.098,0.036
DZ04,11,1.395,0.044
DZ05,11.89,0.882,0.032
SM01,15.95,2.894,0.032
SM02,10.44,2.73,0.024
SM03,10.88,2.894,0.036
SM04,15.38,2.781,0.036
SM05,9.835,2.833,0.044
SM06,12.7,3.028,0.036
TX01,7.722,1.086,0.032
TX02,7.466,1.026,0.032
TX03,9.906,1.067,0.04
DSH01,10.32,0.841,0.028
DSH02,8.589,0.687,0.024
DSH03,13.19,0.831,0.032
DSH04,11.81,0.728,0.044
DSH05,11.45,1.211,0.059
DJS01,12.67,0.738,0.028
DJS02,12.55,0.636,0.04
DJS03,13.89,0.492,0.032
GZ05,9.425,0.594,0.028
WSJ01,7.627,0.882,0.028
WSJ02,9.011,0.502,0.032
WSJ03,9.86,0.759,0.02
HCJ01,9.378,0.882,0.024
HCJ02,7.036,0.944,0.024
HCJ03,11.41,0.923,0.024
HCJ04,13.11,1.118,0.04
SK01,8.311,1.744,0.051
QSJ01,14.8,1.365,0.055
QSJ02,15.3,1.334,0.059
QSJ03,12.37,1.303,0.051
NWL01,11.14,1.56,0.055
NWL02,7.742,1.57,0.059
NWL03,11.82,1.477,0.063
DGB01,11.26,0.615,0.024
DGB02,10.23,0.646,0.024
DGB03,11.24,0.687,0.024
NLL01,11.7,0.43,0.028
NLL02,10.71,0.872,0.032
NLL03,9.995,0.44,0.02
WN01,7.142,0.748,0.024
WN02,6.765,0.79,0.024
WN03,7.125,0.923,0.032
BT01,12.45,0.687,0.036
BT02,9.733,0.615,0.044
BT03,9.59,0.543,0.044
