,C219,C220,C221,C223,C224,C225,C226,C228,C229,C232,C233,C234,C237,C238,C245,C246,C248,C249,C250,C251,C252,C255,C258,C260,C264,C265,C268,C269
XH01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010526.316,0,0,0,0,0,0,13541052.63,8185263.158,0,0
XH03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3941052.632,1616842.105,0,0,0,0,808421.0526,24252631.58,15157894.74,0,0
XH04,0,0,0,0,0,0,0,0,0,0,0,86616.54135,0,0,0,0,0,1154887.218,837293.2331,0,0,0,0,0,5745563.91,4388571.429,0,0
XH05,0,0,0,0,0,0,0,0,0,0,0,0,336842.1053,0,0,0,0,1818947.368,1347368.421,875789.4737,0,0,0,0,18256842.11,16168421.05,0,0
DQH01,0,0,0,0,0,0,0,0,0,0,0,22456.14035,0,0,0,269473.6842,0,224561.4035,0,157192.9825,0,0,0,0,6242807.018,1145263.158,0,0
DQH02,0,0,0,0,0,0,0,0,0,0,40421.05263,0,0,0,0,0,0,0,0,0,80842.10526,101052.6316,0,0,4587789.474,141473.6842,1333894.737,0
DQH03,0,0,0,0,0,0,0,0,0,0,78596.49123,67368.42105,0,0,0,538947.3684,0,101052.6316,0,11228.07018,67368.42105,190877.193,0,157192.9825,1246315.789,0,404210.5263,0
DQH04,0,0,0,0,0,0,0,0,0,0,121263.1579,565894.7368,242526.3158,0,0,0,0,404210.5263,80842.10526,40421.05263,0,161684.2105,0,2708210.526,8245894.737,0,3274105.263,0
DQH05,0,0,0,0,0,0,0,0,0,0,565894.7368,0,121263.1579,0,0,202105.2632,0,0,121263.1579,121263.1579,0,202105.2632,0,2223157.895,8650105.263,0,4567578.947,0
QDH01,0,0,40421.05263,0,0,0,0,0,0,0,0,458105.2632,26947.36842,0,0,13473.68421,0,13473.68421,0,94315.78947,0,40421.05263,0,0,0,0,0,0
QDH02,33684.21053,0,185263.1579,0,0,0,0,0,0,0,471578.9474,0,454736.8421,0,0,33684.21053,0,0,117894.7368,269473.6842,0,33684.21053,0,0,50526.31579,0,0,0
QDH06,0,0,57744.3609,0,0,0,0,0,0,0,433082.7068,43308.27068,0,0,0,0,0,0,43308.27068,14436.09023,0,43308.27068,0,0,28872.18045,0,0,0
QDH07,0,0,161684.2105,0,505263.1579,0,0,0,0,0,282947.3684,0,20210.52632,0,0,0,0,0,0,40421.05263,0,40421.05263,20210.52632,0,3961263.158,80842.10526,40421.05263,0
